product_id,product_type,product_name,product_option
131,발/다리피로회복,[11월 올영픽] 휴족시간 2종 택1 (6매/18매),18매
132,클렌징밀크/크림,메이크프렘 세이프 미 릴리프 모이스처 클렌징밀크 200ml 기획(+100ml 리필),클렌징밀크 기획(+리필)
133,메이크업소품,필리밀리 실리콘 립앤치크 브러시 934,
134,샴푸,헤드앤숄더 가려운 두피케어 샴푸 500ml 더블 기획,
135,안대/아이마스크,[5매입] 멕리듬 스팀 아이마스크 6종 택1 (무향/라벤더/캐모마일/유자/로즈/숲속),무향
45,블러셔,[11월 올영픽/한정기획] 디어달리아 리퀴드 블러쉬 (+헤어핀 2P),[한정세트] 베어리+핑거퍼프
136,헤어용품,필리밀리 무팁 머리끈 4p 2color (중),
137,쿠션,[윤광 쿠션] 네이밍 레이어드 핏 쿠션 기획 (본품+리필),[블러셔 증정] 21Y (본품+리필)
71,바디로션,더마비 데일리 모이스처 바디로션 860ml (신이어마켙 콜라보),
130,마스크팩,[10분급속진정] 아비브 껌딱지 시트 마스크 어성초 스티커 1매,어성초 1매
138,에센스/세럼/앰플,[맑눈광PICK/더블] 웰라쥬 리얼 히알루로닉 블루 100 앰플 75ml 1+1 기획,
139,선크림,[1+1기획] 구달 맑은 어성초 진정 수분 선크림 50ml 1+1기획,1+1 기획
140,핸드크림,더프트앤도프트 니치 퍼퓸 핸드크림 50ml 4종 택1,듀그라스
141,크림,[보습탄력] 아비브 부활초 크림 뉴트리션 튜브 75ml 더블 기획,
142,크림,[호시PICK/비타 쏙쏙 캡슐] 달바 비타 오일 캡슐 크림 55g,
143,에센스/세럼/앰플,[5번팩증정] 넘버즈인 5번 글루타치온씨 흔적 앰플 30ml 더블 기획 (+5번 마스크팩 1매),
144,푸드,[NEW]베노프 프로틴바 60g 10종 중 택1,군고구마
145,립&아이리무버,식물나라 제주 탄산수 딥 립 앤 아이 리무버 300mL(24AD),300mL
146,패드,이니스프리 비타C 패드 60매 기획 (+리필패드 10매),
147,패치,[5관왕 1등] 메디힐 콜라겐 아이 앰플 패치 60매 2종 택1(레티놀/비타),비타 콜라겐 아이 패치
45,블러셔,[11월 올영픽/한정기획] 디어달리아 리퀴드 블러쉬 (+헤어핀 2P),베어리
148,푸드,부샤드 초콜릿 132g 4종 중 택1 (밀크/다크/카라멜&씨솔트/다크민트),다크
149,립틴트,[유리숍 공동개발][한정기획] 바닐라코 듀 글로우 틴트 (단품/기획),[유리숍PICK] 플라밍고
150,크림,[올영단독]닥터자르트 세라마이딘 스킨 베리어 모이스처라이징 크림 기획(50ml+15ml*2),
37,스킨/토너,[한정기획][미스트펌프 증정] 라네즈 크림스킨 170ml 기획 (+130ml 리필+미스트펌프),
141,크림,[보습탄력] 아비브 부활초 크림 뉴트리션 튜브 75ml 더블 기획,
151,패드,코스알엑스 퓨어 핏 시카 패드 팩 90매,
152,클렌징폼/젤,[NEW]바이오힐보 판테셀 리페어시카 논터치 버블 클렌저,
153,린스/컨디셔너,이브로쉐 라즈베리 샤인 헤어식초 400ml,
154,핸드크림,스카이보틀 퍼퓸 핸드크림 50ml 6종 택1,화이트레인
155,제모/왁싱,바디네이처 헤어리무버 왁스스트립 페이스 스위트아몬드(12매),
156,로션,리얼베리어 익스트림 로션 150ml 기획 (+50ml),
37,스킨/토너,[한정기획][미스트펌프 증정] 라네즈 크림스킨 170ml 기획 (+130ml 리필+미스트펌프),
157,선크림,[대용량]식물나라 저자극 페이스 앤 바디 선 크림 150mL,
158,패드형 생리대,쏘피 라베르플랑 유기농 생리대 번들 기획 4종 택 1 (4개입/6개입),4개입 대형(총 48p)
159,면도기/면도날,쉬크 인튜이션 면도날 3입 4종 택1 (레몬베리/내추럴/코코넛/혼합),버라이어티(혼합)
160,바디워시,온더바디 퓨어시카 쉐어 바디워시 1000ml 2종 택1,베이비파우더
161,립스틱,힌스 무드 인핸서 마뜨,얼루어
162,헤어오일/헤어세럼,[단독기획]헤어플러스 단백질 본드 앰플 에센스 더블 기획(70ml+70ml),
163,크림,가히 멀티밤 9g,
54,아이소품,필리밀리 슬림헤드눈썹칼(2P),
